basis	query_chrom	target_chrom	windows	bp	mean_delta	median_delta	max_delta	mean_inter_identity	mean_same_identity
4:4	chr3	chr10	1	2000	0.302203	0.302203	0.302203	0.969758	0.667555
4:4	chr3	chr11	1	2000	0.212855	0.212855	0.212855	0.760223	0.547368
4:4	chr3	chr15	1	2000	0.153846	0.153846	0.153846	0.652187	0.498341
4:4	chr3	chr19	1	2000	0.000500	0.000500	0.000500	0.999500	0.999000
4:4	chr3	chr20	1	2000	0.824683	0.824683	0.824683	0.957269	0.132586
4:4	chr3	chr21	1	2000	0.207467	0.207467	0.207467	0.427422	0.219956
4:4	chr3	chr5	1	2000	0.002730	0.002730	0.002730	0.093422	0.090692
4:4	chr3	chr6	1	2000	0.403183	0.403183	0.403183	0.569095	0.165911
4:4	chr3	chr9	1	2000	0.065007	0.065007	0.065007	0.156610	0.091603
4:4	chr4	chr1	1	2000	0.161247	0.161247	0.161247	0.700467	0.539219
4:4	chr4	chr11	1	2000	0.310717	0.310717	0.310717	0.802990	0.492273
4:4	chr4	chr14	1	2000	0.396349	0.396349	0.396349	0.497758	0.101408
4:4	chr4	chr2	1	2000	0.035836	0.035836	0.035836	0.100665	0.064828
4:4	chr4	chr22	1	2000	0.010867	0.010867	0.010867	0.999500	0.988634
4:4	chr4	chr8	1	2000	0.501436	0.501436	0.501436	0.940765	0.439329
4:4	chr4	chrX	1	2000	0.143294	0.143294	0.143294	0.259562	0.116268
1:1	chr5	chr1	1	2000	0.016311	0.016311	0.016311	0.104265	0.087954
4:4	chr5	chr11	1	2000	0.583420	0.583420	0.583420	0.893969	0.310549
4:4	chr5	chr13	1	2000	0.121717	0.121717	0.121717	0.516106	0.394389
4:4	chr5	chr16	1	2000	0.217618	0.217618	0.217618	0.536812	0.319194
4:4	chr5	chr19	1	2000	0.000649	0.000649	0.000649	0.669695	0.669046
4:4	chr5	chr7	1	2000	0.384428	0.384428	0.384428	0.618452	0.234024
4:4	chr6	chr10	1	2000	0.349572	0.349572	0.349572	0.616517	0.266946
4:4	chr6	chr12	1	2000	0.277840	0.277840	0.277840	0.559674	0.281834
4:4	chr6	chr14	1	2000	0.106127	0.106127	0.106127	0.875878	0.769751
4:4	chr6	chr16	1	2000	0.075308	0.075308	0.075308	0.999750	0.924442
4:4	chr6	chr19	1	2000	0.158874	0.158874	0.158874	0.223390	0.064516
4:4	chr6	chr3	1	2000	0.235121	0.235121	0.235121	0.766062	0.530941
4:4	chr6	chr7	1	2000	0.187452	0.187452	0.187452	0.451732	0.264280
4:4	chr6	chr8	1	2000	0.002156	0.002156	0.002156	0.874611	0.872456
4:4	chr7	chr2	1	2000	0.040257	0.040257	0.040257	0.648615	0.608358
4:4	chr7	chrY	1	2000	0.290237	0.290237	0.290237	0.847533	0.557295
4:4	chr8	chr1	1	2000	0.003260	0.003260	0.003260	0.923357	0.920097
4:4	chr8	chr2	1	2000	0.485654	0.485654	0.485654	0.859485	0.373832
4:4	chr9	chr1	1	2000	0.628701	0.628701	0.628701	0.876520	0.247818
4:4	chr9	chr12	1	2000	0.875929	0.875929	0.875929	0.946054	0.070125
4:4	chr9	chr14	1	2000	0.327174	0.327174	0.327174	0.505954	0.178781
4:4	chr9	chr17	1	2000	0.781629	0.781629	0.781629	0.798486	0.016857
4:4	chr9	chr5	1	2000	0.020451	0.020451	0.020451	0.932426	0.911975
4:4	chr9	chr7	1	2000	0.099810	0.099810	0.099810	0.286319	0.186510
4:4	chrX	chr21	1	2000	0.026761	0.026761	0.026761	0.324013	0.297252
1:1	chrX	chrY	1	2000	0.018718	0.018718	0.018718	0.985486	0.966767
