display_index	row_order_top_to_bottom	row_sequence_community	displayed_column_order_left_to_right	displayed_column_sequence_community	v3_implicit_displayed_column_order_left_to_right	v3_implicit_displayed_column_sequence_community	v3_x_axis_mirrored	orientation_summary	corrected_x_axis_policy	corrected_row_axis_policy	v3_mirror_basis
35	chr13_PATERNAL_q	C6	chr13_PATERNAL_q	C6	chr22_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
36	chr17_MATERNAL_q	C6	chr17_MATERNAL_q	C6	chr22_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
37	chr17_PATERNAL_q	C6	chr17_PATERNAL_q	C6	chr21_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
38	chr19_MATERNAL_q	C6	chr19_MATERNAL_q	C6	chr21_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
39	chr19_PATERNAL_q	C6	chr19_PATERNAL_q	C6	chr19_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
40	chr21_MATERNAL_q	C6	chr21_MATERNAL_q	C6	chr19_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
41	chr21_PATERNAL_q	C6	chr21_PATERNAL_q	C6	chr17_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
42	chr22_MATERNAL_q	C6	chr22_MATERNAL_q	C6	chr17_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
43	chr22_PATERNAL_q	C6	chr22_PATERNAL_q	C6	chr13_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
44	chr13_MATERNAL_p	C7	chr13_MATERNAL_p	C7	chr13_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
45	chr13_PATERNAL_p	C7	chr13_PATERNAL_p	C7	chr1_PATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
46	chr14_MATERNAL_p	C7	chr14_MATERNAL_p	C7	chr1_MATERNAL_q	C6	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
47	chr14_PATERNAL_p	C7	chr14_PATERNAL_p	C7	chr20_PATERNAL_q	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
48	chr15_MATERNAL_p	C7	chr15_MATERNAL_p	C7	chr12_PATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
49	chr15_PATERNAL_p	C7	chr15_PATERNAL_p	C7	chr12_MATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
50	chr21_MATERNAL_p	C7	chr21_MATERNAL_p	C7	chr9_PATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
51	chr21_PATERNAL_p	C7	chr21_PATERNAL_p	C7	chr9_MATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
52	chr22_MATERNAL_p	C7	chr22_MATERNAL_p	C7	chr6_PATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
53	chr22_PATERNAL_p	C7	chr22_PATERNAL_p	C7	chr6_MATERNAL_p	C5	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
54	chr15_MATERNAL_q	C8	chr15_MATERNAL_q	C8	chr12_PATERNAL_q	C4	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
55	chr15_PATERNAL_q	C8	chr15_PATERNAL_q	C8	chr12_MATERNAL_q	C4	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
56	chr16_MATERNAL_p	C9	chr16_MATERNAL_p	C9	chr7_PATERNAL_q	C4	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
57	chr16_PATERNAL_p	C9	chr16_PATERNAL_p	C9	chr7_MATERNAL_q	C4	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
58	chr17_MATERNAL_p	C10	chr17_MATERNAL_p	C10	chr19_PATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
59	chr17_PATERNAL_p	C10	chr17_PATERNAL_p	C10	chr19_MATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
60	chr1_MATERNAL_p	C11	chr1_MATERNAL_p	C11	chr16_PATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
61	chr1_PATERNAL_p	C11	chr1_PATERNAL_p	C11	chr16_MATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
62	chr5_MATERNAL_q	C11	chr5_MATERNAL_q	C11	chr11_PATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
63	chr5_PATERNAL_q	C11	chr5_PATERNAL_q	C11	chr11_MATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
64	chr6_MATERNAL_q	C11	chr6_MATERNAL_q	C11	chr9_PATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
65	chr6_PATERNAL_q	C11	chr6_PATERNAL_q	C11	chr9_MATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
66	chr8_MATERNAL_p	C11	chr8_MATERNAL_p	C11	chr7_PATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
67	chr8_PATERNAL_p	C11	chr8_PATERNAL_p	C11	chr7_MATERNAL_p	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
68	chr2_MATERNAL_q	C12	chr2_MATERNAL_q	C12	chr3_PATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
69	chr2_PATERNAL_q	C12	chr2_PATERNAL_q	C12	chr3_MATERNAL_q	C3	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
