event_id	event_order	panel_label	pair	transmission	query_name	query_arm	query_sample	query_haplotype	query_haplotype_label	query_source_window_native_0based_half_open	native_query_chrom	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	local_query_start_0based	local_query_end_0based_exclusive	segment_length_bp	target_name	target_arm	target_chrom	target_sample	target_haplotype	target_haplotype_label	target_color_key	target_source_window_native_0based_half_open	target_native_interval_0based_half_open_if_recovered	target_native_start_0based_if_recovered	target_native_end_0based_exclusive_if_recovered	strand	identity	jaccard	nb	interchromosomal	event_role	event_role_order	side_fragment_caveat	query_community	target_community	community_status	patch_pattern_annotation	overlaps_phr	has_phr	panel_geometry_source	geometry_source	target_coordinate_source	annotation_source
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134655474	134708170	chr9:134655474-134708170	274489	327185	52696	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	135979035-136031725	135979035	136031725	+	100	1	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134708170	134709188	chr9:134708170-134709188	327185	328203	1018	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	chr9	PAN027	PAN027#1	maternal	chr9q_h1_or_maternal	chr9:128564684-129064684	128887416-128888433	128887416	128888433	+	99.9508	0.999018	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134709188	134710395	chr9:134709188-134710395	328203	329410	1207	PAN027#2#chr16.paternal:89997300-90497299_chr16_qarm	chr16q	chr16	PAN027	PAN027#2	paternal	side_caveat_chr16q	chr16:89997300-90497300	90402195-90403402	90402195	90403402	+	100	1	1	1	side fragment	4	yes	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134710395	134712430	chr9:134710395-134712430	329410	331445	2035	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	chr3	PAN027	PAN027#1	maternal	chr3q_h1_or_maternal	chr3:200905557-201405557	201235200-201237235	201235200	201237235	+	100	1	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134712430	134732172	chr9:134712430-134732172	331445	351187	19742	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	136035984-136055726	136035984	136055726	+	100	1	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134732172	134733177	chr9:134732172-134733177	351187	352192	1005	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	chr3q	chr3	PAN027	PAN027#2	paternal	chr3q_h2_or_paternal	chr3:202048279-202548279	202399021-202400026	202399021	202400026	+	98.5972	0.972522	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134733177	134747735	chr9:134733177-134747735	352192	366750	14558	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	chr3	PAN027	PAN027#1	maternal	chr3q_h1_or_maternal	chr3:200905557-201405557	201258001-201272264	201258001	201272264	+	99.8707	0.99742	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134747735	134749161	chr9:134747735-134749161	366750	368176	1426	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	chr3q	chr3	PAN027	PAN027#2	paternal	chr3q_h2_or_paternal	chr3:202048279-202548279	202414681-202416107	202414681	202416107	+	100	1	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134749161	134757466	chr9:134749161-134757466	368176	376481	8305	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	136073164-136081528	136073164	136081528	+	99.4284	0.988666	1	0	same-chromosome context	1	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134757466	134760092	chr9:134757466-134760092	376481	379107	2626	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	chr3	PAN027	PAN027#1	maternal	chr3q_h1_or_maternal	chr3:200905557-201405557	201281904-201284530	201281904	201284530	+	99.8857	0.997718	1	1	primary donor	3	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134760092	134853198	chr9:134760092-134853198	379107	472213	93106	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	136084153-136177266	136084153	136177266	+	100	1	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134853198	134856765	chr9:134853198-134856765	472213	475780	3567	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	chr3q	chr3	PAN027	PAN027#2	paternal	chr3q_h2_or_paternal	chr3:202048279-202548279	202520336-202523903	202520336	202523903	+	99.9439	0.998879	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134856765	134871931	chr9:134856765-134871931	475780	490946	15166	PAN027#2#chr15.paternal:98308884-98808883_chr15_qarm	chr15q	chr15	PAN027	PAN027#2	paternal	side_caveat_chr15q	chr15:98308884-98808884	98785058-98800254	98785058	98800254	+	99.1068	0.982371	1	1	side fragment	4	yes	C3	C8	cross_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134871931	134880886	chr9:134871931-134880886	490946	499901	8955	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	chr3	PAN027	PAN027#1	maternal	chr3q_h1_or_maternal	chr3:200905557-201405557	201396490-201405473	201396490	201405473	+	99.6985	0.993997	1	1	primary donor	3	no	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
