seq	arm	self_chr	region_start	region_end	chrs_involved	arms_involved
HG00321#2#CM089582.1:66622755-67122754_chr20_qarm	qarm	chr20	405000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00321#2#JBHIIZ010000005.1:92745580-93245579_chr15_qarm	qarm	chr15	380000	500000	chr1,chr3,chr5,chr6,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr3q,chr5q,chr6p,chr6q,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00321#2#JBHIIZ010000010.1:38789124-39289123_chr21_qarm	qarm	chr21	480000	500000	chr1,chr2,chr4,chr7,chr10,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr7p,chr10q,chr20p,chr21q,chr22q
HG00321#2#JBHIIZ010000012.1:97891249-98391248_chr14_qarm	qarm	chr14	.	.	.	.
HG00321#2#JBHIIZ010000015.1:8661993-9161992_chrX_qarm	qarm	chrX	475000	500000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20q
HG00321#2#JBHIIZ010000016.1:90063259-90563258_chr16_qarm	qarm	chr16	345000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10p,chr10q,chr11p,chr13q,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00321#2#JBHIIZ010000037.1:60819804-61319803_chr18_qarm	qarm	chr18	.	.	.	.
HG00321#2#JBHIIZ010000038.1:7940-507939_chrX_parm	parm	chrX	.	.	.	.
HG00321#2#JBHIIZ010000040.1:3827-503826_chr18_parm	parm	chr18	0	95000	chr9,chr10,chr18	chr9q,chr10p,chr18p
HG00321#2#JBHIIZ010000044.1:45742876-46242875_chr22_qarm	qarm	chr22	480000	500000	chr1,chr2,chr4,chr6,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00321#2#JBHIIZ010000045.1:6826-506825_chr22_parm	parm	chr22	0	265000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00323#1#CM087303.1:242331673-242831672_chr1_qarm	qarm	chr1	485000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr17,chr19,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr7p,chr10q,chr17q,chr19q,chr21q,chr22q
HG00323#1#CM087303.1:3654-503653_chr1_parm	parm	chr1	0	115000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#1#CM087304.1:10936-510935_chr3_parm	parm	chr3	.	.	.	.
HG00323#1#CM087304.1:199685270-200185269_chr3_qarm	qarm	chr3	250000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#1#CM087305.1:10117-510116_chr5_parm	parm	chr5	.	.	.	.
HG00323#1#CM087305.1:184929857-185429856_chr5_qarm	qarm	chr5	300000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#1#CM087306.1:171449474-171949473_chr6_qarm	qarm	chr6	360000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr21q,chr22q
HG00323#1#CM087306.1:7870-507869_chr6_parm	parm	chr6	0	100000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#1#CM087307.1:160897342-161397341_chr7_qarm	qarm	chr7	.	.	.	.
HG00323#1#CM087307.1:8345-508344_chr7_parm	parm	chr7	0	135000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr22	chr1p,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr22q
HG00323#1#CM087308.1:146954564-147454563_chr8_qarm	qarm	chr8	.	.	.	.
HG00323#1#CM087308.1:6278-506277_chr8_parm	parm	chr8	0	170000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00323#1#CM087309.1:11457-511456_chr9_parm	parm	chr9	0	40000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#1#CM087309.1:140324283-140824282_chr9_qarm	qarm	chr9	195000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr18,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr18p,chr19p,chr20p,chr20q
HG00323#1#CM087310.1:133910969-134410968_chr11_qarm	qarm	chr11	.	.	.	.
HG00323#1#CM087310.1:5683-505682_chr11_parm	parm	chr11	0	220000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr17p,chr19p,chr20p,chr20q
HG00323#1#CM087311.1:132812534-133312533_chr12_qarm	qarm	chr12	.	.	.	.
HG00323#1#CM087311.1:8372-508371_chr12_parm	parm	chr12	0	70000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#1#CM087312.1:8345-508344_chr16_parm	parm	chr16	0	20000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#1#CM087312.1:91153329-91653328_chr16_qarm	qarm	chr16	345000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#1#CM087313.1:5856-505855_chr17_parm	parm	chr17	0	40000	chr3,chr11,chr17	chr3q,chr11p,chr17p
HG00323#1#CM087313.1:83188170-83688169_chr17_qarm	qarm	chr17	455000	500000	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr10,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr10q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#1#CM087314.1:5250-505249_chr18_parm	parm	chr18	0	100000	chr3,chr4,chr9,chr10,chr16,chr18	chr3q,chr4q,chr9q,chr10p,chr16q,chr18p
HG00323#1#CM087314.1:80274031-80774030_chr18_qarm	qarm	chr18	.	.	.	.
HG00323#1#CM087315.1:5563-505562_chr20_parm	parm	chr20	0	100000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr10q,chr11p,chr12p,chr15q,chr16p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#1#CM087315.1:65074465-65574464_chr20_qarm	qarm	chr20	395000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#1#CM087316.1:154101470-154601469_chrX_qarm	qarm	chrX	475000	500000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p
HG00323#1#CM087316.1:9308-509307_chrX_parm	parm	chrX	.	.	.	.
HG00323#1#JBHDWM010000004.1:9949-509948_chr4_parm	parm	chr4	0	60000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00323#1#JBHDWM010000005.1:98855304-99355303_chr13_qarm	qarm	chr13	490000	500000	chr1,chr2,chr10,chr13,chr17,chr19,chr21,chr22	chr1q,chr2q,chr10q,chr13q,chr17q,chr19q,chr21q,chr22q
HG00323#1#JBHDWM010000008.1:147222460-147722459_chr2_qarm	qarm	chr2	380000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#1#JBHDWM010000010.1:35262095-35762094_chr21_qarm	qarm	chr21	480000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr10q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#1#JBHDWM010000015.1:43775830-44275829_chr22_qarm	qarm	chr22	480000	500000	chr1,chr2,chr4,chr6,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#1#JBHDWM010000017.1:6164-506163_chr19_parm	parm	chr19	0	205000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20,chr21	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q,chr21q
HG00323#1#JBHDWM010000048.1:97927162-98427161_chr14_qarm	qarm	chr14	.	.	.	.
HG00323#1#JBHDWM010000050.1:3489-503488_chr10_parm	parm	chr10	0	70000	chr3,chr9,chr10,chr18	chr3q,chr9q,chr10p,chr18p
HG00323#1#JBHDWM010000051.1:34222935-34722934_chr19_qarm	qarm	chr19	480000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#1#JBHDWM010000052.1:10725-510724_chr2_parm	parm	chr2	.	.	.	.
HG00323#1#JBHDWM010000055.1:82554089-83054088_chr15_qarm	qarm	chr15	380000	500000	chr1,chr3,chr5,chr6,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr3q,chr5q,chr6p,chr6q,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#1#JBHDWM010000059.1:11681-511680_chr14_parm	parm	chr14	0	80000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00323#2#CM087328.1:249783835-250283834_chr1_qarm	qarm	chr1	485000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr17,chr19,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr7p,chr10q,chr17q,chr19q,chr21q,chr22q
HG00323#2#CM087328.1:3654-503653_chr1_parm	parm	chr1	0	115000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#2#CM087329.1:10936-510935_chr3_parm	parm	chr3	.	.	.	.
HG00323#2#CM087329.1:199967217-200467216_chr3_qarm	qarm	chr3	260000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#2#CM087330.1:181727931-182227930_chr5_qarm	qarm	chr5	305000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#CM087330.1:9202-509201_chr5_parm	parm	chr5	.	.	.	.
HG00323#2#CM087331.1:12295-512294_chr6_parm	parm	chr6	0	100000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#2#CM087331.1:171476829-171976828_chr6_qarm	qarm	chr6	355000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#CM087332.1:160441118-160941117_chr7_qarm	qarm	chr7	.	.	.	.
HG00323#2#CM087332.1:5514-505513_chr7_parm	parm	chr7	0	140000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17p,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#CM087333.1:145130109-145630108_chr8_qarm	qarm	chr8	.	.	.	.
HG00323#2#CM087333.1:6765-506764_chr8_parm	parm	chr8	0	170000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00323#2#CM087334.1:10090-510089_chr9_parm	parm	chr9	0	40000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#2#CM087334.1:133420282-133920281_chr9_qarm	qarm	chr9	275000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10p,chr10q,chr11p,chr13q,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#CM087335.1:133795679-134295678_chr11_qarm	qarm	chr11	.	.	.	.
HG00323#2#CM087335.1:8227-508226_chr11_parm	parm	chr11	0	25000	chr3,chr9,chr11,chr16,chr17	chr3q,chr9q,chr11p,chr16q,chr17p
HG00323#2#CM087336.1:12029-512028_chr12_parm	parm	chr12	0	70000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#2#CM087336.1:133928729-134428728_chr12_qarm	qarm	chr12	475000	500000	chr7,chr12	chr7q,chr12q
HG00323#2#CM087337.1:3836-503835_chr16_parm	parm	chr16	0	25000	chr3,chr9,chrX,chr12,chr16,chr19	chr3q,chr9p,chrXq,chr12p,chr16p,chr19p
HG00323#2#CM087337.1:88199373-88699372_chr16_qarm	qarm	chr16	345000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#CM087338.1:5310-505309_chr17_parm	parm	chr17	0	5000	chr11,chr17	chr11p,chr17p
HG00323#2#CM087338.1:82787003-83287002_chr17_qarm	qarm	chr17	455000	500000	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr10,chr11,chr13,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr10q,chr11p,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#2#CM087339.1:63262989-63762988_chr19_qarm	qarm	chr19	480000	500000	chr1,chr2,chr4,chr6,chr7,chr8,chr10,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr8p,chr10q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#2#CM087339.1:8981-508980_chr19_parm	parm	chr19	0	185000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20,chr21	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q,chr21q
HG00323#2#CM087340.1:66338910-66838909_chr20_qarm	qarm	chr20	400000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#2#CM087340.1:7891-507890_chr20_parm	parm	chr20	0	160000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00323#2#CM087341.1:47959587-48459586_chr22_qarm	qarm	chr22	475000	500000	chr1,chr2,chr4,chr6,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#2#CM087341.1:7976-507975_chr22_parm	parm	chr22	0	345000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00323#2#CM087342.1:154068808-154568807_chrX_qarm	qarm	chrX	475000	500000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20q
HG00323#2#CM087342.1:7898-507897_chrX_parm	parm	chrX	.	.	.	.
HG00323#2#JBHDWN010000001.1:147254019-147754018_chr2_qarm	qarm	chr2	380000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00323#2#JBHDWN010000003.1:9235-509234_chr4_parm	parm	chr4	0	60000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00323#2#JBHDWN010000009.1:98169481-98669480_chr14_qarm	qarm	chr14	.	.	.	.
HG00323#2#JBHDWN010000011.1:85548632-86048631_chr15_qarm	qarm	chr15	380000	500000	chr1,chr3,chr5,chr6,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr3q,chr5q,chr6p,chr6q,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00323#2#JBHDWN010000012.1:37650188-38150187_chr21_qarm	qarm	chr21	480000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr10q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00323#2#JBHDWN010000016.1:6781-506780_chr18_parm	parm	chr18	0	50000	chr4,chr9,chr10,chr18	chr4q,chr9q,chr10p,chr10q,chr18p
HG00323#2#JBHDWN010000044.1:61362338-61862337_chr18_qarm	qarm	chr18	.	.	.	.
HG00323#2#JBHDWN010000045.1:10726-510725_chr2_parm	parm	chr2	.	.	.	.
HG00323#2#JBHDWN010000046.1:6718-506717_chr10_parm	parm	chr10	0	70000	chr9,chr10,chr16,chr18	chr9q,chr10p,chr16q,chr18p
HG00323#2#JBHDWN010000047.1:98913201-99413200_chr13_qarm	qarm	chr13	490000	500000	chr1,chr6,chr10,chr13,chr17,chr20,chr21,chr22	chr1q,chr6p,chr6q,chr10q,chr13q,chr17q,chr20p,chr21q,chr22q
HG00323#2#JBHDWN010000052.1:6064-506063_chr14_parm	parm	chr14	0	420000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00329#1#CM094226.1:183760279-184260278_chr5_qarm	qarm	chr5	325000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00329#1#CM094226.1:2583-502582_chr5_parm	parm	chr5	.	.	.	.
HG00329#1#CM094227.1:171396187-171896186_chr6_qarm	qarm	chr6	355000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00329#1#CM094227.1:3925-503924_chr6_parm	parm	chr6	0	100000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00329#1#CM094228.1:161239277-161739276_chr7_qarm	qarm	chr7	495000	500000	chr7,chr12	chr7q,chr12q
HG00329#1#CM094228.1:4874-504873_chr7_parm	parm	chr7	0	135000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17p,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00329#1#CM094229.1:144400674-144900673_chr8_qarm	qarm	chr8	.	.	.	.
HG00329#1#CM094229.1:4752-504751_chr8_parm	parm	chr8	0	30000	chr1,chr2,chr8,chr19	chr1p,chr2q,chr8p,chr19p
HG00329#1#CM094230.1:134617853-135117852_chr10_qarm	qarm	chr10	370000	500000	chr2,chr4,chr6,chr7,chr10,chr13,chr17,chr18,chr19,chr21,chr22	chr2q,chr4q,chr6p,chr6q,chr7p,chr10q,chr13q,chr17q,chr18p,chr19q,chr21q,chr22q
HG00329#1#CM094230.1:4364-504363_chr10_parm	parm	chr10	0	70000	chr3,chr9,chr10,chr18	chr3q,chr9q,chr10p,chr18p
HG00329#1#CM094231.1:133838422-134338421_chr11_qarm	qarm	chr11	.	.	.	.
HG00329#1#CM094231.1:9719-509718_chr11_parm	parm	chr11	0	220000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16q,chr17p,chr19p,chr20p,chr20q
HG00329#1#CM094232.1:133489131-133989130_chr12_qarm	qarm	chr12	475000	500000	chr7,chr12	chr7q,chr12q
HG00329#1#CM094232.1:5361-505360_chr12_parm	parm	chr12	0	70000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00329#1#CM094233.1:102987718-103487717_chr14_qarm	qarm	chr14	.	.	.	.
HG00329#1#CM094233.1:2007-502006_chr14_parm	parm	chr14	0	130000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00329#1#CM094234.1:5704-505703_chr16_parm	parm	chr16	0	25000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20q
