gene_name,genome_wide_copies,gene_biotype,chromosomes,num_chromosomes
TRS-AGA4-1,1,tRNA,chr6,1
CD83P1,1,pseudogene,chr6,1
TRR-TCT5-1,1,tRNA,chr6,1
TRK-TTT9-1,1,tRNA,chr6,1
TRD-GTC3-1,1,tRNA,chr6,1
TRK-TTT4-1,2,tRNA,chr6,1
TRX-CAT1-6,1,tRNA,chr6,1
RNU6-471P,1,pseudogene,chr6,1
TRL-CAA3-1,1,tRNA,chr6,1
TRL-CAA2-1,1,tRNA,chr6,1
TRT-CGT5-1,1,tRNA,chr6,1
TRI-TAT2-3,1,tRNA,chr6,1
TRV-AAC3-1,1,tRNA,chr6,1
RPL8P1,1,pseudogene,chr6,1
LOC124901292,1,lncRNA,chr6,1
TRI-AAT8-1,1,tRNA,chr6,1
TRR-ACG2-4,1,tRNA,chr6,1
TRS-CGA3-1,1,tRNA,chr6,1
TRV-AAC4-1,1,tRNA,chr6,1
TRT-AGT2-2,1,tRNA,chr6,1
TRI-AAT2-1,1,tRNA,chr6,1
LINC01012,1,lncRNA,chr6,1
LOC124901291,1,lncRNA,chr6,1
TRL-TAA2-1,1,tRNA,chr6,1
TRT-AGT4-1,1,tRNA,chr6,1
GPR89P,1,pseudogene,chr6,1
TRV-AAC1-5,1,tRNA,chr6,1
LOC100131289,1,lncRNA,chr6,1
RSL24D1P1,1,pseudogene,chr6,1
TRQ-CTG6-1,1,tRNA,chr6,1
TRQ-TTG3-3,1,tRNA,chr6,1
H4C10P,1,pseudogene,chr6,1
H2BC13,1,protein_coding,chr6,1
H2AC13,1,protein_coding,chr6,1
H3C10,1,protein_coding,chr6,1
H2AC14,1,protein_coding,chr6,1
H2BC14,1,protein_coding,chr6,1
H4C11,1,protein_coding,chr6,1
H4C12,1,protein_coding,chr6,1
H2AC15,1,protein_coding,chr6,1
H2BC15,1,protein_coding,chr6,1
H2BC16P,1,pseudogene,chr6,1
H2AC16,1,protein_coding,chr6,1
H1-5,1,protein_coding,chr6,1
H3C11,1,protein_coding,chr6,1
H4C13,1,protein_coding,chr6,1
HCG13P,1,pseudogene,chr6,1
H3C12,1,protein_coding,chr6,1
H2AC17,1,protein_coding,chr6,1
H2BC17,1,protein_coding,chr6,1
RNU7-26P,1,pseudogene,chr6,1
TRX-CAT1-7,1,tRNA,chr6,1
TRG-GCC2-3,1,tRNA,chr6,1
OR2B2,1,protein_coding,chr6,1
OR2W6P,1,pseudogene,chr6,1
OR2B6,1,protein_coding,chr6,1
RPLP2P1,1,pseudogene,chr6,1
OR2W4P,1,pseudogene,chr6,1
IQCB2P,1,pseudogene,chr6,1
LOC124901506,1,snoRNA,chr6,1
OR2W2P,1,pseudogene,chr6,1
OR2B7P,1,pseudogene,chr6,1
OR2B8P,1,transcribed_pseudogene,chr6,1
OR1F12P,1,pseudogene,chr6,1
ZNF165,1,protein_coding,chr6,1
ZSCAN12P1,1,transcribed_pseudogene,chr6,1
ZNF601P,1,pseudogene,chr6,1
ZNF602P,1,pseudogene,chr6,1
ZSCAN16-AS1,1,lncRNA,chr6,1
ZSCAN16,1,protein_coding,chr6,1
ZKSCAN8,1,protein_coding,chr6,1
ZKSCAN8P1,1,transcribed_pseudogene,chr6,1
ZNF603P,1,pseudogene,chr6,1
ZKSCAN8P2,1,pseudogene,chr6,1
TRS-GCT5-1,1,tRNA,chr6,1
TOB2P1,1,transcribed_pseudogene,chr6,1
ZSCAN9,1,protein_coding,chr6,1
ZKSCAN4,1,protein_coding,chr6,1
NKAPL,1,protein_coding,chr6,1
ZSCAN26,1,protein_coding,chr6,1
PGBD1,1,protein_coding,chr6,1
SMIM15P2,1,pseudogene,chr6,1
ZSCAN31,1,protein_coding,chr6,1
ZKSCAN3,1,protein_coding,chr6,1
ZSCAN12,1,protein_coding,chr6,1
LOC105374998,1,lncRNA,chr6,1
ZNF968P,1,pseudogene,chr6,1
RNU2-45P,1,pseudogene,chr6,1
ZSCAN23,1,protein_coding,chr6,1
COX11P1,1,pseudogene,chr6,1
OR2E1P,1,pseudogene,chr6,1
TRT-TGT1-1,1,tRNA,chr6,1
TRNAL47P,1,pseudogene,chr6,1
TRL-AAG4-1,1,tRNA,chr6,1
TRMEP1,1,pseudogene,chr6,1
LOC124901294,1,lncRNA,chr6,1
TRT-CGT1-1,1,tRNA,chr6,1
LOC124901295,1,lncRNA,chr6,1
GPX6,1,protein_coding,chr6,1
GPX5,1,protein_coding,chr6,1
TRI-TAT3-1,1,tRNA,chr6,1
LOC107986586,1,lncRNA,chr6,1
TRR-TCG5-1,1,tRNA,chr6,1
ZBED9,1,protein_coding,chr6,1
TRQ-TTG2-1,1,tRNA,chr6,1
TRS-GCT4-1,1,tRNA,chr6,1
TRA-AGC3-1,1,tRNA,chr6,1
TRA-TGC9-1,1,pseudogene,chr6,1
LOC105374996,1,lncRNA,chr6,1
TRA-TGC2-1,1,tRNA,chr6,1
TRT-CGT3-1,1,tRNA,chr6,1
LINC00533,1,lncRNA,chr6,1
TRA-AGC4-1,1,tRNA,chr6,1
TRA-CGC2-1,1,tRNA,chr6,1
TRK-TTT13-1,1,pseudogene,chr6,1
TRA-AGC5-1,1,tRNA,chr6,1
TRA-AGC7-1,1,tRNA,chr6,1
TRT-AGT3-1,1,tRNA,chr6,1
TRF-GAA11-1,1,pseudogene,chr6,1
TRA-CGC4-1,1,tRNA,chr6,1
RPSAP2,1,pseudogene,chr6,1
TRV-AAC6-1,1,tRNA,chr6,1
TRR-CCG1-1,1,tRNA,chr6,1
TRA-TGC6-1,1,tRNA,chr6,1
TRF-GAA6-1,1,tRNA,chr6,1
TRF-GAA5-1,1,tRNA,chr6,1
TRA-AGC23-1,1,pseudogene,chr6,1
NOP56P1,1,pseudogene,chr6,1
TRA-TGC1-1,1,tRNA,chr6,1
TRF-GAA1-1,1,tRNA,chr6,1
TRA-AGC1-1,1,tRNA,chr6,1
LOC124901504,1,pseudogene,chr6,1
TRA-TGC7-1,1,tRNA,chr6,1
TRF-GAA3-1,1,tRNA,chr6,1
TRA-AGC6-1,1,tRNA,chr6,1
TRA-TGC5-1,1,tRNA,chr6,1
TRF-GAA4-1,1,tRNA,chr6,1
LOC124901296,1,lncRNA,chr6,1
TRA-AGC2-1,1,tRNA,chr6,1
LINC01623,1,lncRNA,chr6,1
RPL13P,1,pseudogene,chr6,1
TRA-AGC2-2,1,tRNA,chr6,1
TRR-CCG1-2,1,tRNA,chr6,1
ZNF90P2,1,pseudogene,chr6,1
TRL-CAA1-1,1,tRNA,chr6,1
HCG14,1,lncRNA,chr6,1
TRIM27,1,protein_coding,chr6,1
RNU6-930P,1,pseudogene,chr6,1
TRL-CAA1-2,1,tRNA,chr6,1
TRQ-CTG1-3,1,tRNA,chr6,1
TRL-AAG2-2,1,tRNA,chr6,1
LINC01556,1,lncRNA,chr6,1
TRM-CAT3-2,1,tRNA,chr6,1
TRK-TTT3-3,1,tRNA,chr6,1
TRM-CAT3-1,1,tRNA,chr6,1
KRT18P1,1,pseudogene,chr6,1
RN7SL471P,1,pseudogene,chr6,1
TRF-GAA1-2,1,tRNA,chr6,1
TRE-CTC1-6,1,tRNA,chr6,1
HCG15,1,lncRNA,chr6,1
TRL-AAG3-1,1,tRNA,chr6,1
ZNF311,1,protein_coding,chr6,1
LOC105375002,1,lncRNA,chr6,1
OR2AD1P,1,pseudogene,chr6,1
OR2W1-AS1,1,lncRNA,chr6,1
OR2W1,1,protein_coding,chr6,1
OR2P1P,1,pseudogene,chr6,1
SAR1AP1,1,pseudogene,chr6,1
OR2B3,1,protein_coding,chr6,1
OR2J1,1,protein_coding,chr6,1
OR2J3,1,protein_coding,chr6,1
OR2N1P,1,pseudogene,chr6,1
OR2J2,1,protein_coding,chr6,1
OR2J4P,1,pseudogene,chr6,1
LOC124901297,1,lncRNA,chr6,1
OR2H4P,1,pseudogene,chr6,1
LINC03003,1,lncRNA,chr6,1
OR2G1P,1,pseudogene,chr6,1
LOC105375006,1,lncRNA,chr6,1
OR2U1P,1,pseudogene,chr6,1
OR2U2P,1,pseudogene,chr6,1
LOC105375005,1,lncRNA,chr6,1
OR2B4P,1,pseudogene,chr6,1
OR14J1,1,protein_coding,chr6,1
DDX6P1,1,pseudogene,chr6,1
OR5V1,1,protein_coding,chr6,1
OR12D3,1,protein_coding,chr6,1
OR12D2,1,protein_coding,chr6,1
OR12D1,1,misc_RNA,chr6,1
OR11A1,1,protein_coding,chr6,1
OR10C1,1,protein_coding,chr6,1
LOC105379641,1,lncRNA,chr6,1
OR2H1,1,protein_coding,chr6,1
UBDP1,1,pseudogene,chr6,1
MAS1LP1,1,pseudogene,chr6,1
LOC105375008,1,lncRNA,chr6,1
MAS1L,1,protein_coding,chr6,1
LOC124901486,1,lncRNA,chr6,1
RPS17P1,1,pseudogene,chr6,1
LINC02829,1,lncRNA,chr6,1
LINC01015,1,lncRNA,chr6,1
GPR53P,1,pseudogene,chr6,1
OR2I1P,1,protein_coding,chr6,1
UBD,1,protein_coding,chr6,1
OR2H5P,1,pseudogene,chr6,1
TMEM183AP1,1,pseudogene,chr6,1
SNORD32B,1,snoRNA,chr6,1
RPL13AP,1,pseudogene,chr6,1
OR2H2,1,protein_coding,chr6,1
GABBR1,1,protein_coding,chr6,1
SUMO2P1,1,pseudogene,chr6,1
MOG,1,protein_coding,chr6,1
ZFP57,1,protein_coding,chr6,1
ZDHHC20P1,1,pseudogene,chr6,1
HCG4P11,1,pseudogene,chr6,1
HLA-F,1,protein_coding,chr6,1
RPL23AP1,1,pseudogene,chr6,1
HLA-F-AS1,1,lncRNA,chr6,1
MICE,1,pseudogene,chr6,1
HCG9P5,1,pseudogene,chr6,1
IFITM4P,1,transcribed_pseudogene,chr6,1
LOC353010,1,pseudogene,chr6,1
HCG4,1,lncRNA,chr6,1
HLA-V,1,transcribed_pseudogene,chr6,1
HCG4P9,1,pseudogene,chr6,1
HLA-P,1,pseudogene,chr6,1
RPL7AP7,1,pseudogene,chr6,1
MICG,1,pseudogene,chr6,1
HCG4P8,1,pseudogene,chr6,1
HLA-G,1,protein_coding,chr6,1
HCGVIII-2,1,pseudogene,chr6,1
LOC105375010,1,lncRNA,chr6,1
MICF,1,pseudogene,chr6,1
LOC353009,1,pseudogene,chr6,1
HCP5B,1,lncRNA,chr6,1
HCG4P7,1,pseudogene,chr6,1
HLA-H,1,transcribed_pseudogene,chr6,1
HLA-T,1,pseudogene,chr6,1
DDX39BP1,1,pseudogene,chr6,1
MCCD1P1,1,pseudogene,chr6,1
LOC353008,1,pseudogene,chr6,1
HCG4B,1,lncRNA,chr6,1
HLA-K,1,pseudogene,chr6,1
LOC124901298,1,lncRNA,chr6,1
HLA-U,1,pseudogene,chr6,1
HCG4P5,1,pseudogene,chr6,1
HLA-A,1,protein_coding,chr6,1
HCG4P4,1,pseudogene,chr6,1
HLA-W,1,pseudogene,chr6,1
MICD,1,pseudogene,chr6,1
HCG9,1,lncRNA,chr6,1
DDX39BP2,1,pseudogene,chr6,1
MCCD1P2,1,pseudogene,chr6,1
LOC353007,1,pseudogene,chr6,1
ZNRD1ASP,1,transcribed_pseudogene,chr6,1
HCG4P3,1,pseudogene,chr6,1
HLA-J,1,transcribed_pseudogene,chr6,1
ETF1P1,1,pseudogene,chr6,1
POLR1H,1,protein_coding,chr6,1
PPP1R11,1,protein_coding,chr6,1
RNF39,1,protein_coding,chr6,1
TRIM31,1,protein_coding,chr6,1
TRIM31-AS1,1,lncRNA,chr6,1
LOC124900227,1,snoRNA,chr6,1
TRIM40,1,protein_coding,chr6,1
TRIM10,1,protein_coding,chr6,1
TRIM15,1,protein_coding,chr6,1
TRIM26,1,protein_coding,chr6,1
PAIP1P1,1,pseudogene,chr6,1
HCG17,1,lncRNA,chr6,1
TRIM26BP,1,pseudogene,chr6,1
HLA-L,1,transcribed_pseudogene,chr6,1
HCG18,1,lncRNA,chr6,1
TRIM39,1,protein_coding,chr6,1
TRIM39-RPP21,1,protein_coding,chr6,1
RPP21,1,protein_coding,chr6,1
HLA-N,1,pseudogene,chr6,1
UBQLN1P1,1,pseudogene,chr6,1
MICC,1,pseudogene,chr6,1
LOC105375012,1,protein_coding,chr6,1
TMPOP1,1,pseudogene,chr6,1
SUCLA2P1,1,pseudogene,chr6,1
RANP1,1,pseudogene,chr6,1
HLA-E,1,protein_coding,chr6,1
LINC02569,1,lncRNA,chr6,1
GNL1,1,protein_coding,chr6,1
PRR3,1,protein_coding,chr6,1
ABCF1,1,protein_coding,chr6,1
MIR877,1,miRNA,chr6,1
PPP1R10,1,protein_coding,chr6,1
MRPS18B,1,protein_coding,chr6,1
ATAT1,1,protein_coding,chr6,1
PTMAP1,1,pseudogene,chr6,1
C6orf136,1,protein_coding,chr6,1
DHX16,1,protein_coding,chr6,1
PPP1R18,1,protein_coding,chr6,1
NRM,1,protein_coding,chr6,1
RPL7P4,1,pseudogene,chr6,1
MDC1,1,protein_coding,chr6,1
MDC1-AS1,1,lncRNA,chr6,1
TUBB,1,protein_coding,chr6,1
FLOT1,1,protein_coding,chr6,1
IER3-AS1,1,lncRNA,chr6,1
IER3,1,protein_coding,chr6,1
RN7SL353P,1,pseudogene,chr6,1
HCG20,1,lncRNA,chr6,1
LINC00243,1,lncRNA,chr6,1
LINC02570,1,lncRNA,chr6,1
RN7SKP186,1,pseudogene,chr6,1
DDR1,1,protein_coding,chr6,1
MIR4640,1,miRNA,chr6,1
GTF2H4,1,protein_coding,chr6,1
VARS2,1,protein_coding,chr6,1
SFTA2,1,protein_coding,chr6,1
LOC124901299,1,protein_coding,chr6,1
MUCL3,1,protein_coding,chr6,1
HCG21,1,lncRNA,chr6,1
NAPGP2,1,pseudogene,chr6,1
MUC21,1,protein_coding,chr6,1
MUC22,1,protein_coding,chr6,1
HCG22,1,transcribed_pseudogene,chr6,1
RNU6-1133P,1,pseudogene,chr6,1
C6orf15,1,protein_coding,chr6,1
PSORS1C1,1,protein_coding,chr6,1
CDSN,1,protein_coding,chr6,1
PSORS1C2,1,protein_coding,chr6,1
POLR2LP1,1,pseudogene,chr6,1
CCHCR1,1,protein_coding,chr6,1
TCF19,1,protein_coding,chr6,1
POU5F1,1,protein_coding,chr6,1
PSORS1C3,1,lncRNA,chr6,1
HCG27,1,lncRNA,chr6,1
HLA-C,1,protein_coding,chr6,1
USP8P1,1,pseudogene,chr6,1
RPL3P2,1,pseudogene,chr6,1
WASF5P,1,pseudogene,chr6,1
LINC02571,1,lncRNA,chr6,1
LOC112267902,1,lncRNA,chr6,1
HLA-B,1,protein_coding,chr6,1
MIR6891,1,miRNA,chr6,1
DHFRP2,1,pseudogene,chr6,1
RNU6-283P,1,pseudogene,chr6,1
FGFR3P1,1,pseudogene,chr6,1
ZDHHC20P2,1,pseudogene,chr6,1
HLA-S,1,pseudogene,chr6,1
LOC124901300,1,lncRNA,chr6,1
MICA-AS1,1,lncRNA,chr6,1
MICA,1,protein_coding,chr6,1
LINC01149,1,lncRNA,chr6,1
HLA-X,1,pseudogene,chr6,1
HCP5,1,lncRNA,chr6,1
HCG26,1,lncRNA,chr6,1
MICB-DT,1,lncRNA,chr6,1
MICB,1,protein_coding,chr6,1
PPIAP9,1,pseudogene,chr6,1
RPL15P4,1,pseudogene,chr6,1
MCCD1,1,protein_coding,chr6,1
ATP6V1G2-DDX39B,1,lncRNA,chr6,1
DDX39B,1,protein_coding,chr6,1
SNORD117,1,snoRNA,chr6,1
SNORD84,1,snoRNA,chr6,1
DDX39B-AS1,1,lncRNA,chr6,1
ATP6V1G2,1,protein_coding,chr6,1
NFKBIL1,1,protein_coding,chr6,1
LOC100287329,1,lncRNA,chr6,1
LTA,1,protein_coding,chr6,1
TNF,1,protein_coding,chr6,1
LTB,1,protein_coding,chr6,1
LST1,1,protein_coding,chr6,1
NCR3,1,protein_coding,chr6,1
UQCRHP1,1,pseudogene,chr6,1
AIF1,1,protein_coding,chr6,1
PRRC2A,1,protein_coding,chr6,1
SNORA38,1,snoRNA,chr6,1
MIR6832,1,miRNA,chr6,1
BAG6,1,protein_coding,chr6,1
APOM,1,protein_coding,chr6,1
C6orf47,1,protein_coding,chr6,1
GPANK1,1,protein_coding,chr6,1
CSNK2B,1,protein_coding,chr6,1
LY6G5B,1,protein_coding,chr6,1
LY6G5C,1,protein_coding,chr6,1
LOC105375019,1,lncRNA,chr6,1
ABHD16A,1,protein_coding,chr6,1
LOC105375018,1,lncRNA,chr6,1
MIR4646,1,miRNA,chr6,1
LY6G6F,1,protein_coding,chr6,1
LY6G6F-LY6G6D,1,protein_coding,chr6,1
LY6G6E,1,transcribed_pseudogene,chr6,1
LY6G6D,1,protein_coding,chr6,1
LY6G6C,1,protein_coding,chr6,1
MPIG6B,1,protein_coding,chr6,1
DDAH2,1,protein_coding,chr6,1
CLIC1,1,protein_coding,chr6,1
MSH5-SAPCD1,1,lncRNA,chr6,1
MSH5,1,protein_coding,chr6,1
RNU6-850P,1,pseudogene,chr6,1
SAPCD1,1,protein_coding,chr6,1
SAPCD1-AS1,1,lncRNA,chr6,1
VWA7,1,protein_coding,chr6,1
VARS1,1,protein_coding,chr6,1
LSM2,1,protein_coding,chr6,1
HSPA1L,1,protein_coding,chr6,1
HSPA1A,1,protein_coding,chr6,1
HSPA1B,1,protein_coding,chr6,1
SNHG32,1,lncRNA,chr6,1
SNORD48,1,snoRNA,chr6,1
SNORD52,1,snoRNA,chr6,1
NEU1,1,protein_coding,chr6,1
SLC44A4,1,protein_coding,chr6,1
EHMT2-AS1,1,lncRNA,chr6,1
EHMT2,1,protein_coding,chr6,1
C2,1,protein_coding,chr6,1
ZBTB12,1,protein_coding,chr6,1
C2-AS1,1,lncRNA,chr6,1
CFB,1,protein_coding,chr6,1
NELFE,1,protein_coding,chr6,1
MIR1236,1,miRNA,chr6,1
SKIV2L,1,protein_coding,chr6,1
DXO,1,protein_coding,chr6,1
STK19,1,protein_coding,chr6,1
C4A,1,protein_coding,chr6,1
CYP21A1P,1,transcribed_pseudogene,chr6,1
TNXA,1,transcribed_pseudogene,chr6,1
STK19B,1,pseudogene,chr6,1
C4B,1,protein_coding,chr6,1
CYP21A2,1,protein_coding,chr6,1
TNXB,1,protein_coding,chr6,1
RNA5SP206,1,pseudogene,chr6,1
ATF6B,1,protein_coding,chr6,1
FKBPL,1,protein_coding,chr6,1
PRRT1,1,protein_coding,chr6,1
LOC100507547,1,lncRNA,chr6,1
PPT2,1,protein_coding,chr6,1
PPT2-EGFL8,1,lncRNA,chr6,1
EGFL8,1,protein_coding,chr6,1
AGPAT1,1,protein_coding,chr6,1
MIR6721,1,miRNA,chr6,1
RNF5,1,protein_coding,chr6,1
MIR6833,1,miRNA,chr6,1
AGER,1,protein_coding,chr6,1
PBX2,1,protein_coding,chr6,1
GPSM3,1,protein_coding,chr6,1
NOTCH4,1,protein_coding,chr6,1
TSBP1-AS1,1,lncRNA,chr6,1
TSBP1,1,protein_coding,chr6,1
HNRNPA1P2,1,pseudogene,chr6,1
RNU6-603P,1,pseudogene,chr6,1
HCG23,1,lncRNA,chr6,1
BTNL2,1,protein_coding,chr6,1
HLA-DRA,1,protein_coding,chr6,1
HLA-DRB9,1,pseudogene,chr6,1
HLA-DRB5,1,protein_coding,chr6,1
RNU1-61P,1,pseudogene,chr6,1
HLA-DRB6,1,transcribed_pseudogene,chr6,1
RNU1-152P,1,pseudogene,chr6,1
HLA-DRB1,1,protein_coding,chr6,1
LOC124901301,1,lncRNA,chr6,1
HLA-DQA1,1,protein_coding,chr6,1
HLA-DQB1,1,protein_coding,chr6,1
HLA-DQB1-AS1,1,lncRNA,chr6,1
MTCO3P1,1,pseudogene,chr6,1
LOC102725019,1,lncRNA,chr6,1
HLA-DQA2,1,protein_coding,chr6,1
MIR3135B,1,miRNA,chr6,1
HLA-DQB2,1,protein_coding,chr6,1
HLA-DOB,1,protein_coding,chr6,1
TAP2,1,protein_coding,chr6,1
PSMB8,1,protein_coding,chr6,1
PSMB8-AS1,1,lncRNA,chr6,1
TAP1,1,protein_coding,chr6,1
PSMB9,1,protein_coding,chr6,1
PPP1R2P1,1,pseudogene,chr6,1
LOC100294145,1,lncRNA,chr6,1
HLA-Z,1,pseudogene,chr6,1
HLA-DMB,1,protein_coding,chr6,1
HLA-DMA,1,protein_coding,chr6,1
LOC124901302,1,lncRNA,chr6,1
BRD2,1,protein_coding,chr6,1
HLA-DOA,1,protein_coding,chr6,1
HLA-DPA1,1,protein_coding,chr6,1
HLA-DPB1,1,protein_coding,chr6,1
RPL32P1,1,pseudogene,chr6,1
HLA-DPA2,1,pseudogene,chr6,1
COL11A2P1,1,pseudogene,chr6,1
HLA-DPB2,1,transcribed_pseudogene,chr6,1
LOC105375021,1,lncRNA,chr6,1
HLA-DPA3,1,pseudogene,chr6,1
HCG24,1,lncRNA,chr6,1
COL11A2,1,protein_coding,chr6,1
RXRB,1,protein_coding,chr6,1
RNY4P10,1,pseudogene,chr6,1
SLC39A7,1,protein_coding,chr6,1
HSD17B8,1,protein_coding,chr6,1
MIR219A1,1,miRNA,chr6,1
RING1,1,protein_coding,chr6,1
ZNF70P1,1,pseudogene,chr6,1
LOC105375022,1,lncRNA,chr6,1
HCG25,1,lncRNA,chr6,1
VPS52,1,protein_coding,chr6,1
RPS18,1,protein_coding,chr6,1
B3GALT4,1,protein_coding,chr6,1
WDR46,1,protein_coding,chr6,1
MIR6873,1,miRNA,chr6,1
PFDN6,1,protein_coding,chr6,1
MIR6834,1,miRNA,chr6,1
RGL2,1,protein_coding,chr6,1
TAPBP,1,protein_coding,chr6,1
ZBTB22,1,protein_coding,chr6,1
DAXX,1,protein_coding,chr6,1
LOC124901303,1,lncRNA,chr6,1
SMIM40,1,protein_coding,chr6,1
MYL12BP3,1,pseudogene,chr6,1
LYPLA2P1,1,pseudogene,chr6,1
RPL35AP4,1,pseudogene,chr6,1
KIFC1,1,protein_coding,chr6,1
RPL12P1,1,pseudogene,chr6,1
PHF1,1,protein_coding,chr6,1
CUTA,1,protein_coding,chr6,1
SYNGAP1,1,protein_coding,chr6,1
SYNGAP1-AS1,1,lncRNA,chr6,1
MIR5004,1,miRNA,chr6,1
ZBTB9,1,protein_coding,chr6,1
LOC107986537,1,lncRNA,chr6,1
RN7SL26P,1,pseudogene,chr6,1
BAK1,1,protein_coding,chr6,1
GGNBP1,1,transcribed_pseudogene,chr6,1
LINC00336,1,lncRNA,chr6,1
ITPR3,1,protein_coding,chr6,1
LOC124901305,1,lncRNA,chr6,1
ITPR3-AS1,1,lncRNA,chr6,1
UQCC2,1,protein_coding,chr6,1
MIR3934,1,miRNA,chr6,1
LOC124901304,1,lncRNA,chr6,1
IP6K3,1,protein_coding,chr6,1
LEMD2,1,protein_coding,chr6,1
LOC105375024,1,lncRNA,chr6,1
MLN,1,protein_coding,chr6,1
LOC105375025,1,lncRNA,chr6,1
LOC124901306,1,lncRNA,chr6,1
LOC105375027,1,lncRNA,chr6,1
LINC01016,1,lncRNA,chr6,1
LOC105375026,1,lncRNA,chr6,1
MIR7159,1,miRNA,chr6,1
LOC107986590,1,lncRNA,chr6,1
LOC124901307,1,lncRNA,chr6,1
LOC124901308,1,lncRNA,chr6,1
MIR1275,1,miRNA,chr6,1
GRM4,1,protein_coding,chr6,1
KRT18P9,1,pseudogene,chr6,1
CYCSP55,1,pseudogene,chr6,1
LOC124901225,1,protein_coding,chr6,1
HMGA1,1,protein_coding,chr6,1
MIR6835,1,miRNA,chr6,1
SMIM29,1,protein_coding,chr6,1
RPL35P2,1,pseudogene,chr6,1
NUDT3,1,protein_coding,chr6,1
RPS10-NUDT3,1,protein_coding,chr6,1
RPS10,1,protein_coding,chr6,1
PACSIN1,1,protein_coding,chr6,1
SPDEF,1,protein_coding,chr6,1
IFITM3P3,1,pseudogene,chr6,1
ILRUN,1,protein_coding,chr6,1
RPL7P25,1,pseudogene,chr6,1
LOC124901535,1,snoRNA,chr6,1
RN7SL200P,1,pseudogene,chr6,1
LOC105375028,1,lncRNA,chr6,1
LOC124901540,1,snoRNA,chr6,1
ILRUN-AS1,1,lncRNA,chr6,1
LOC112267975,1,pseudogene,chr6,1
RPS10P13,1,pseudogene,chr6,1
SNRPC,1,protein_coding,chr6,1
UHRF1BP1,1,protein_coding,chr6,1
RNY3P15,1,pseudogene,chr6,1
TAF11,1,protein_coding,chr6,1
ANKS1A,1,protein_coding,chr6,1
HSPE1P11,1,pseudogene,chr6,1
TCP11,1,protein_coding,chr6,1
LOC112267955,1,lncRNA,chr6,1
SCUBE3,1,protein_coding,chr6,1
LOC101929285,1,lncRNA,chr6,1
ZNF76,1,protein_coding,chr6,1
DEF6,1,protein_coding,chr6,1
PPARD,1,protein_coding,chr6,1
MKRN6P,1,pseudogene,chr6,1
FANCE,1,protein_coding,chr6,1
RPL10A,1,protein_coding,chr6,1
MIR7111,1,miRNA,chr6,1
TEAD3,1,protein_coding,chr6,1
TULP1,1,protein_coding,chr6,1
LOC124901309,1,lncRNA,chr6,1
LOC101929309,1,lncRNA,chr6,1
RPS15AP19,1,pseudogene,chr6,1
LOC124901310,1,lncRNA,chr6,1
FKBP5,1,protein_coding,chr6,1
RPL36P9,1,pseudogene,chr6,1
LOC124900228,1,snoRNA,chr6,1
MIR5690,1,miRNA,chr6,1
LOC285847,1,lncRNA,chr6,1
ARMC12,1,protein_coding,chr6,1
LOC100652794,1,pseudogene,chr6,1
CLPSL2,1,protein_coding,chr6,1
CLPSL1,1,protein_coding,chr6,1
CLPS,1,protein_coding,chr6,1
LHFPL5,1,protein_coding,chr6,1
SRPK1,1,protein_coding,chr6,1
LOC124901311,1,lncRNA,chr6,1
SLC26A8,1,protein_coding,chr6,1
LOC105375035,1,lncRNA,chr6,1
DPRXP2,1,pseudogene,chr6,1
LOC105375034,1,lncRNA,chr6,1
MAPK14,1,protein_coding,chr6,1
LOC107986592,1,pseudogene,chr6,1
MAPK13,1,protein_coding,chr6,1
BRPF3-AS1,1,lncRNA,chr6,1
BRPF3,1,protein_coding,chr6,1
LOC105375036,1,lncRNA,chr6,1
PNPLA1,1,protein_coding,chr6,1
BNIP5,1,protein_coding,chr6,1
ETV7,1,protein_coding,chr6,1
ETV7-AS1,1,lncRNA,chr6,1
PXT1,1,protein_coding,chr6,1
KCTD20,1,protein_coding,chr6,1
RN7SL502P,1,pseudogene,chr6,1
LOC124901558,1,pseudogene,chr6,1
STK38,1,protein_coding,chr6,1
RN7SL748P,1,pseudogene,chr6,1
SRSF3,1,protein_coding,chr6,1
MIR3925,1,miRNA,chr6,1
LOC105375038,1,lncRNA,chr6,1
RNU1-88P,1,pseudogene,chr6,1
PANDAR,1,lncRNA,chr6,1
LAP3P2,1,pseudogene,chr6,1
CDKN1A,1,protein_coding,chr6,1
DINOL,1,lncRNA,chr6,1
RAB44,1,protein_coding,chr6,1
GPR166P,1,pseudogene,chr6,1
CPNE5,1,protein_coding,chr6,1
PPIL1,1,protein_coding,chr6,1
C6orf89,1,protein_coding,chr6,1
PI16,1,protein_coding,chr6,1
MTCH1,1,protein_coding,chr6,1
FGD2,1,protein_coding,chr6,1
COX6A1P2,1,pseudogene,chr6,1
RPL12P2,1,pseudogene,chr6,1
PIM1,1,protein_coding,chr6,1
TMEM217,1,protein_coding,chr6,1
TMEM217B,1,protein_coding,chr6,1
LOC124901537,1,snoRNA,chr6,1
TBC1D22B,1,protein_coding,chr6,1
LOC105375040,1,lncRNA,chr6,1
RNF8,1,protein_coding,chr6,1
RN7SL273P,1,pseudogene,chr6,1
CMTR1,1,protein_coding,chr6,1
LOC107986531,1,lncRNA,chr6,1
CCDC167,1,protein_coding,chr6,1
LINC02520,1,lncRNA,chr6,1
LOC124901312,1,lncRNA,chr6,1
MIR4462,1,miRNA,chr6,1
LOC124901313,1,lncRNA,chr6,1
